,Date,WiFi Zone,Location,Total Revenue
0,2021-02-01,EFBXW-LI-Ram-Madula,Rambuda,30.0
29,2021-02-01,FBXW-LI-Ramb-MKSpazaShopTshibvumo-AP1,Rambuda,34.05
30,2021-02-01,FBXW-LI-Ramb-MukwevhoResidence-AP1,Rambuda,23.33
31,2021-02-01,FBXW-LI-Ramb-NageliHouse-AP1,Rambuda,35.24
32,2021-02-01,FBXW-LI-Ramb-NditsheniFruitShop-AP1,Rambuda,51.9
33,2021-02-01,FBXW-LI-Ramb-PileKonanani-disable-people-co-operative-AP1,Rambuda,36.67
34,2021-02-01,FBXW-LI-Ramb-PileRestaurant-AP1,Rambuda,103.33
35,2021-02-01,FBXW-LI-Ruth-Tuck-Shop-AP1,Tzaneen,30.0
36,2021-02-01,FBXW-LI-Waren-G-AP1,Tzaneen,30.0
37,2021-02-01,FBXW-MONASGENERALSTORE-AP1,Munsieville,58.33
38,2021-02-01,PIXWF-BH-ASIBONGETRADINGBUTCHER-AP1,Bothas Hill,90.24
40,2021-02-01,PIXWF-BH-DLAMINI-RESIDENCE-AP1,Bothas Hill,28.57
28,2021-02-01,FBXW-LI-Ramb-HaKhakhiSpazaShop-AP1,Rambuda,80.71
41,2021-02-01,PIXWF-BH-GRIMATUCKSHOP-AP,Bothas Hill,46.9
43,2021-02-01,PIXWF-BH-MCHUNU-HOUSE-AP1,Bothas Hill,36.9
44,2021-02-01,PIXWF-BH-MSOMI-HOUSE-AP,Bothas Hill,6.9
45,2021-02-01,PIXWF-BH-NGCOBO-HOUSE-AP1,Bothas Hill,51.9
46,2021-02-01,PIXWF-BH-ROADHOUSESPAZA-AP1,Bothas Hill,133.81
47,2021-02-01,PIXWF-BH-TSAKANE-AP1,Bothas Hill,113.81
48,2021-02-01,PIXWF-BH-YENZANATHICDP-AP1,Bothas Hill,53.57
49,2021-02-01,PIXWF-CPT-KAYAMANDI-AP1,Kayamandi,173.1
50,2021-02-01,PIXWF-ICONICHAIRSALON-AP1,Munsieville,60.48
51,2021-02-01,PIXWF-MIDO-INTERNET-CAFE-AP1,Munsieville,28.57
52,2021-02-01,PIXWF-NOBELACENTER-AP1,Munsieville,79.05
53,2021-02-01,PIXWF-SHOP-n-SAVE-AP1,Munsieville,75.0
42,2021-02-01,PIXWF-BH-KINGS-TUCKSHOP-AP1,Bothas Hill,51.9
27,2021-02-01,FBXW-LI-Ramb-Fhatuwani,Rambuda,5.0
39,2021-02-01,PIXWF-BH-CORNERTUCKSHOP-AP1,Bothas Hill,125.95
25,2021-02-01,FBXW-LI-Ramb-ChiefHouse-AP1,Rambuda,33.81
26,2021-02-01,FBXW-LI-Ramb-CouncilOffice-AP1,Rambuda,3.57
2,2021-02-01,EFBXW-LI-Ramb-NetiliResidence-AP1,Rambuda,13.33
3,2021-02-01,EFBXW-LI-Ramb-PileCommunityHall-AP1,Rambuda,16.9
4,2021-02-01,EFBXW-LI-Ramb-SuccessSalon-AP1,Rambuda,28.57
5,2021-02-01,EFBXW-LI-Ramb-TshilandeTuckshop-AP1,Rambuda,21.67
6,2021-02-01,FBXW-KZN-CLERMONT-AP1,Cleremont,5.0
7,2021-02-01,FBXW-KZN-INANDA-AP1,Inanda,26.67
8,2021-02-01,FBXW-KZN-KWADABEKA-AP1,Kwadabeka,35.0
9,2021-02-01,FBXW-KZN-Lamontville-PIXWF,Lamontville,128.33
10,2021-02-01,FBXW-KZN-MARRIANHILL-AP2,Inanda,85.0
11,2021-02-01,FBXW-KZN-OLC-AP1,Mpopheni,3.57
12,2021-02-01,FBXW-KZN-Phoenix-AP1,Pheonix,37.14
1,2021-02-01,EFBXW-LI-Ramb-Nethamba-AP1,Rambuda,16.67
14,2021-02-01,FBXW-LI-CORNER-TUCKSHOP-AP1,Tzaneen,20.0
13,2021-02-01,FBXW-LI-Asvali-Supermarket-AP1,Tzaneen,45.0
23,2021-02-01,FBXW-LI-NTWAMPE-AP,Lebalelo,5.0
22,2021-02-01,FBXW-LI-Masakhana-Spaza-Shop-AP1,Tzaneen,35.0
